grant_title,id,organization,total_amount,group,Grant start date,start_month,start_day,start_year
New Mexico Business Roundtable,1,New Mexico Business Roundtable for Educational Excellence,5000,low,2/4/2010,2,4,2010
LA NSC Match,2,Trustees of Dartmouth College,27727,low,8/3/2009,8,3,2009
Mathematics Assessment for Learning Phase One RFP,3,Denver School of Science and Technology Inc.,36018,low,11/12/2009,11,12,2009
Convening of Stakeholder Planning Committee for the Institute for Local Innovation in Teaching and Learning,4,The NEA Foundation for the Improvement of Education,38420,low,3/11/2010,3,11,2010
Conference Support,5,New Schools for New Orleans,50000,low,10/12/2009,10,12,2009
Conference Support Grant on differentiated compensation symposium,6,Battelle For Kids,50000,low,6/30/2009,6,30,2009
Conference Support On School Turnaround Issues,7,FSG Social Impact Advisors,50000,low,9/24/2009,9,24,2009
City Based Proposal for What Works Fund - Aspire Public Schools,8,Aspire Public Schools,51500,low,10/29/2009,10,29,2009
Formative Assessment Task Development and Validation (Supplemental to OPP53449),9,Educational Policy Improvement Center,55752,low,11/16/2009,11,16,2009
City Based Proposal for What Works Fund - E3 Alliance,10,E3 Alliance,56245,low,10/28/2009,10,28,2009
Light touch communications grant for EET district partner (Hillsborough),11,"Hillsborough Education Foundation Inc.",60000,low,11/2/2009,11,2,2009
Light touch communications grant for EET district partner (LA CMOs),12,The College-Ready Promise,60000,low,11/2/2009,11,2,2009
Light touch communications grant for EET district partner (Memphis),13,Memphis City Schools Foundation,60000,low,11/2/2009,11,2,2009
Light touch communications grant for EET district partners (Pittsburgh),14,Pittsburgh Public Schools,60000,low,11/2/2009,11,2,2009
City Based Proposal for What Works Fund - GHCF,15,Greater Houston Community Foundation,68500,low,10/28/2009,10,28,2009
City Based Proposal for What Works Fund - New Visions for Public Schools,16,"New Visions for Public Schools Inc",70116,low,11/10/2009,11,10,2009
City Based Proposal for What Works Fund - Philadelphia Public Schools,17,School District of Philadelphia,74219,low,11/13/2009,11,13,2009
Mathematics Assessment for Learning Phase One RFP,18,Hamilton County Department of Education,74800,low,11/1/2009,11,1,2009
City Based Proposal for What Works Fund – Internationals Network (with NCLR),19,Internationals Network For Public Schools Inc,74900,low,3/24/2010,3,24,2010
City Based Proposal for What Works Fund - Minneapolis Public Schools,20,Achieve Minneapolis,74963,low,10/29/2009,10,29,2009
