PLZ;Ort;Grundpreis (Euro/Jahr);ArbeitspreisHT (ct/kWh);Messstellenbetrieb (Euro/Jahr);Verbandsnummer
01067;Dresden. ;30.00;6.79;13.14;9900750000006
01069;Dresden. ;30.00;6.79;13.14;9900750000006
01097;Dresden. ;30.00;6.79;13.14;9900750000006
01099;Dresden. ;30.00;6.79;13.14;9900750000006
01108;Dresden. ;30.00;6.79;13.14;9900750000006
01109;Dresden. ;30.00;6.79;13.14;9900750000006
01127;Dresden. ;30.00;6.79;13.14;9900750000006
01129;Dresden. ;30.00;6.79;13.14;9900750000006
01139;Dresden. ;30.00;6.79;13.14;9900750000006
01156;Dresden. ;30.00;6.79;13.14;9900750000006
01157;Dresden. ;30.00;6.79;13.14;9900750000006
01159;Dresden. ;30.00;6.79;13.14;9900750000006
01169;Dresden. ;30.00;6.79;13.14;9900750000006
01187;Dresden. ;30.00;6.79;13.14;9900750000006
01189;Dresden. ;30.00;6.79;13.14;9900750000006
01217;Dresden. ;30.00;6.79;13.14;9900750000006
01219;Dresden. ;30.00;6.79;13.14;9900750000006
01237;Dresden. ;30.00;6.79;13.14;9900750000006
01239;Dresden. ;30.00;6.79;13.14;9900750000006
01257;Dresden. ;30.00;6.79;13.14;9900750000006
01259;Dresden. ;30.00;6.79;13.14;9900750000006
01277;Dresden. ;30.00;6.79;13.14;9900750000006
01279;Dresden. ;30.00;6.79;13.14;9900750000006
01307;Dresden. ;30.00;6.79;13.14;9900750000006
01309;Dresden. ;30.00;6.79;13.14;9900750000006
01324;Dresden. ;30.00;6.79;13.14;9900750000006
01326;Dresden. ;30.00;6.79;13.14;9900750000006
01328;Dresden. ;30.00;6.79;13.14;9900750000006
01445;Radebeul. ;35.00;4.19;11.24;9900912000000
01454;Radeberg. ;30.00;6.79;13.87;9900726000006
01454;Wachau. ;30.00;6.79;13.87;9900726000006
01458;Ottendorf-Okrilla. ;30.00;6.79;13.87;9900726000006
01465;Langebrück. Schönborn. ;30.00;6.79;13.14;9900750000006
01468;Moritzburg. ;30.00;6.79;13.14;9900750000006
01468;Moritzburg. ;30.00;6.79;13.87;9900726000006
01471;Radeburg. ;30.00;6.79;13.87;9900726000006
01477;Arnsdorf. ;30.00;6.79;13.87;9900726000006
01558;Großenhain. ;30.00;6.79;13.87;9900726000006
01561;Böhla. Fasanerie. Liega. Schönfeld. ;30.00;6.79;13.87;9900726000006
01561;Ebersbach. ;30.00;6.79;13.87;9900726000006
01561;Großenhain. ;30.00;6.79;13.87;9900726000006
01561;Kraußnitz. ;73.00;5.25;20.64;4042805000102
01561;Lampertswalde. ;30.00;6.79;13.87;9900726000006
01561;Priestewitz. ;30.00;6.79;13.87;9900726000006
01561;Thiendorf. ;30.00;6.79;13.87;9900726000006
01561;Thiendorf. ;73.00;5.25;20.64;4042805000102
01587;Riesa. ;37.00;6.56;25.82;9900913000009
01589;Riesa. ;37.00;6.56;25.82;9900913000009
01591;Riesa. ;37.00;6.56;25.82;9900913000009
