verbandsnummer;typ;messung_et;abrechnung_et;zaehler_et;mp_et;messung_dt;abrechnung_dt;zaehler_dt;mp_dt;arbeitspreis;grundpreis;vorlaeufig
4041407000008;Haushalt;2.5;13.52;7.26;23.28;2.5;13.52;24.41;40.43;7.46;0;WAHR
4042805000102;Haushalt;1.78;10.16;6.06;18;1.78;10.16;18.86;30.8;6.28;47.58;FALSCH
4042805001208;Haushalt;1.78;10.16;6.06;18;1.78;10.16;18.86;30.8;5.6;32.94;FALSCH
4043581000010;Haushalt;3.31;11;8.67;22.98;3.31;11;30.47;44.78;5.18;25;FALSCH
4045458000000;Haushalt;1.62;10.68;9.46;21.76;1.62;10.68;22.73;35.03;4.87;43.92;FALSCH
4260016040117;Haushalt;1.75;12.69;9.59;24.03;1.75;12.69;22.3;36.74;5.36;25;FALSCH
4260154980016;Haushalt;5.81;8.23;10.46;24.5;8.93;8.92;20.92;38.77;4.04;13;FALSCH
4399901729759;Haushalt;3.12;8;4.79;15.91;3.12;8;11.04;22.16;5.38;20;FALSCH
9900001000002;Haushalt;4.92;12.12;10.92;27.96;7.32;12.72;36.84;56.88;5.2;33;FALSCH
9900003000000;Haushalt;5;13;10;28;8;13;35;56;4.78;24;FALSCH
9900004000009;Haushalt;1.61;6.6;5.33;13.54;1.61;6.6;10.76;18.97;5.23;30;FALSCH
9900006000007;Haushalt;4.02;11.57;7.53;23.12;4.7;11.57;16.49;32.76;4.7;20;FALSCH
9900008000005;Haushalt;4;11;5.25;20.25;4;11;20.4;35.4;5.78;15;FALSCH
9900009000004;Haushalt;1.75;4.8;6;12.55;1.75;4.8;18;24.55;5.13;15;FALSCH
9900010000001;Haushalt;4.73;10.25;9.6;24.58;7.67;10.25;27.9;45.82;5.25;0;FALSCH
9900013000008;Haushalt;2.35;12;8.65;23;2.35;12;34.45;48.8;6.74;15;FALSCH
9900015000006;Haushalt;5.2;10.4;10;25.6;8;10.4;20;38.4;6.89;0;FALSCH
9900019000002;Haushalt;5;12;8;25;5;12;13.8;30.8;5.34;54;FALSCH
9900021000008;Haushalt;2.4;11.2;9.9;23.5;2.4;11.2;16.2;29.8;5.14;40;FALSCH
9900022000007;Haushalt;5.46;11.45;8.54;25.45;5.46;11.45;31.84;48.75;4.58;15;FALSCH
9900023000006;Haushalt;3.15;11;8.5;22.65;4.95;11;19;34.95;4.66;24;FALSCH
9900024000005;Haushalt;4.6;4.7;5.8;15.1;9.2;9.4;26.2;44.8;4.66;25;FALSCH
