plz;ort;verbandsnummer;name
1067;Dresden;9900750000006;
1067;Dresden;9907661000000;
1067;Dresden;9907587000001;
1069;Dresden;9900750000006;
1069;Dresden;9907587000001;
1097;Dresden;9900750000006;
1097;Dresden;9907587000001;
1099;Dresden;9900750000006;
1108;Dresden;9900750000006;
1108;Dresden;9900726000006;
1109;Dresden;9900750000006;
1109;Dresden;9907587000001;
1127;Dresden;9900750000006;
1129;Dresden;9900750000006;
1139;Dresden;9900750000006;
1156;Dresden;9900750000006;
1156;Dresden;9900726000006;
1157;Dresden;9900750000006;
1157;Dresden;9907587000001;
1159;Dresden;9900750000006;
1169;Dresden;9900750000006;
1187;Dresden;9900750000006;
1189;Dresden;9900750000006;
1217;Dresden;9900750000006;
1219;Dresden;9900750000006;
1237;Dresden;9900750000006;
1237;Dresden;9907587000001;
1239;Dresden;9900750000006;
1239;Dresden;9900726000006;
1257;Dresden;9900750000006;
1259;Dresden;9900750000006;
1259;Dresden;9907587000001;
1277;Dresden;9900750000006;
1279;Dresden;9900750000006;
1307;Dresden;9900750000006;
1309;Dresden;9900750000006;
1324;Dresden;9900750000006;
1326;Dresden;9900750000006;
1328;Dresden;9900750000006;
1328;Dresden;9900726000006;
1445;Radebeul;9900912000000;
1445;Radebeul;9907587000001;
1454;Großerkmannsdorf;9900726000006;
1454;Radeberg;9900726000006;
1454;Ullersdorf;9900726000006;
1454;Wachau;9900726000006;
1458;Ottendorf-Okrilla;9900726000006;
1465;Langebrück;9900750000006;
1465;Schönborn;9900750000006;
1465;Langebrück;9900726000006;
1465;Schönborn;9900726000006;
1468;Moritzburg;9900726000006;
1471;Radeburg;9900726000006;
1477;Arnsdorf;9900726000006;
1477;Fischbach;9900726000006;
1477;Kleinwolmsdorf;9900726000006;
1477;Wallroda;9900726000006;
1477;Arnsdorf;9907587000001;
1558;Großenhain;9900726000006;
1558;Großenhain;9907587000001;
1561;Blochwitz;4042805000102;
1561;Brößnitz;4042805000102;
1561;Kraußnitz;4042805000102;
1561;Niegeroda;4042805000102;
