ix;plz;kwh;datetime
7;73453;3000;2016-07-18 17:50:57
8;73453;3000;2016-07-18 17:54:42
9;73453;3000;2016-07-18 18:01:43
10;73453;3000;2016-07-18 18:02:50
11;;;2016-07-19 04:51:45
12;71229;150;2016-07-19 17:53:29
13;93098;1500;2016-07-19 19:09:17
14;93098;1500;2016-07-19 19:10:23
15;NaN;10000;2016-07-20 10:30:21
16;NaN;10000;2016-07-20 10:30:24
17;NaN;10000;2016-07-20 10:30:31
18;NaN;10000;2016-07-20 10:30:36
19;12105;10000;2016-07-20 10:30:54
20;8648;2500;2016-07-20 12:24:02
21;85356;2434;2016-07-20 15:01:22
22;3099;NaN;2016-07-20 18:43:52
23;NaN;4000;2016-07-20 18:44:06
24;3099;4000;2016-07-20 18:44:12
25;6406;6500;2016-07-21 00:34:35
26;6406;6500;2016-07-21 00:34:56
27;6406;6500;2016-07-21 10:32:40
28;12105;6500;2016-07-21 10:33:29
29;73453;6500;2016-07-21 10:33:42
30;93098;6500;2016-07-21 10:34:00
31;85356;6500;2016-07-21 10:34:20
32;88299;3000;2016-07-21 11:37:32
33;88299;3000;2016-07-21 11:38:02
34;10823;2000;2016-07-21 17:27:35
35;80339;35000;2016-07-22 09:01:34
36;79098;3000;2016-07-22 11:19:46
37;80687;5000;2016-07-22 14:06:41
38;80687;5700;2016-07-22 14:07:16
39;80687;3800;2016-07-22 14:12:09
40;85256;10119;2016-07-22 19:04:37
41;29456;2300;2016-07-23 00:30:55
42;29456;2300;2016-07-23 00:30:55
43;29456;2300;2016-07-23 00:33:03
44;NaN;500;2016-07-23 13:54:02
45;45468;500;2016-07-23 13:54:08
46;45468;2000;2016-07-23 14:26:50
47;21481;3200;2016-07-24 21:23:12
48;10967;3500;2016-07-25 08:23:16
49;34323;5000;2016-07-25 10:13:03
50;34232;2500;2016-07-25 10:13:26
51;34323;2500;2016-07-25 10:13:35
52;21481;3000;2016-07-25 10:32:59
53;34323;2000;2016-07-25 10:35:41
54;45359;5500;2016-07-25 11:02:03
55;83671;3500;2016-07-25 14:40:08
56;27576;8000;2016-07-25 15:17:25
57;544113;4000;2016-07-26 09:10:33
58;54413;4000;2016-07-26 09:10:39
59;85652;4000;2016-07-26 09:56:32
60;9112;5000;2016-07-26 10:34:44
61;86153;3000;2016-07-26 11:58:09
62;86163;3000;2016-07-26 11:59:09
63;86167;3000;2016-07-26 11:59:22
64;86169;3000;2016-07-26 11:59:36
65;86199;3000;2016-07-26 12:00:10
66;90429;4200;2016-07-26 15:28:52
67;90556;3300;2016-07-26 15:30:40
68;90449;1200;2016-07-26 16:06:52
69;12435;1500;2016-07-26 16:44:45
70;69509;6500;2016-07-26 20:49:08
71;69509;13000;2016-07-26 20:50:04
72;21039;1500;2016-07-27 09:44:55
73;34266;2200;2016-07-27 13:39:52
74;34266;2200;2016-07-27 13:40:26
75;22083;NaN;2016-07-27 22:51:17
76;86152;1600;2016-07-28 12:01:49
77;86152;1600;2016-07-28 12:03:15
78;9380;4000;2016-07-28 12:07:10
79;86152;1200;2016-07-28 12:11:13
80;10997;2000;2016-07-28 14:44:31
81;80797;15000;2016-07-28 15:29:11
82;37133;340;2016-07-28 16:26:28
83;37133;3400;2016-07-28 16:27:33
84;37073;2000;2016-07-28 19:40:00
85;37073;2000;2016-07-28 19:41:09
86;86152;2000;2016-07-28 19:41:33
87;80992;2000;2016-07-28 19:42:47
88;86152;1052;2016-07-28 19:43:35
89;86152;1052;2016-07-28 20:00:00
90;22309;10000;2016-07-28 22:56:45
91;22309;2500;2016-07-28 22:57:31
92;49080;1500;2016-07-28 23:00:30
93;22309;3000;2016-07-28 23:03:53
94;84149;3800;2016-07-29 10:32:52
95;72076;NaN;2016-07-29 19:28:42
96;38114;1800;2016-07-29 19:31:28
97;51149;4000;2016-07-30 23:21:52
98;41189;5000;2016-07-31 11:49:23
99;80933;2500;2016-07-31 12:55:20
100;13409;3500;2016-07-31 13:31:57
101;NaN;NaN;2016-08-01 10:29:21
102;12161;3000;2016-08-01 10:29:30
103;12435;2500;2016-08-01 10:34:47
104;86152;1400;2016-08-01 11:27:20
105;67316;10000;2016-08-01 11:58:18
106;22337;1000;2016-08-01 12:18:57
107;69242;3500;2016-08-01 19:31:29
108;87700;2000;2016-08-01 20:37:15
109;NaN;NaN;2016-08-02 12:36:29
110;53783;5800;2016-08-03 09:42:54
111;53783;5800;2016-08-03 09:43:46
112;66571;3200;2016-08-03 14:15:11
113;55291;680;2016-08-03 15:38:19
114;34127;1200;2016-08-03 15:43:31
115;73453;6500;2016-08-03 23:48:31
116;53489;6000;2016-08-04 12:27:44
117;20259;30000;2016-08-04 12:41:55
118;1454;2500;2016-08-04 12:42:52
