name;description;slug;image;email;edifactemail;phone;fax;website;mode;market_place_id;contact_id;represented by;Street;City    ;Zip   ;State;Country
Buzzn GmbH;Purveyor of peoplepower since 2009;buzzn;;dev@buzzn.net;;089 / 32 16 8;;www.buzzn.net; ;; ;Vertretung durch?;;;;;
50Hertz Transmission GmbH;;50hertz;;;roman.schuelke@50hertz.com;+49 30 51503782;+49 30 51504511;http://www.50hertz.com/de/;transmission_system_operator;9911845000009;;;Heidestraße 2;Berlin;10557;;DE
Tennet TSO GmbH;;tennet;;;biko-bka@tennet.eu;+49 921 507404575;+49 921 507404566;https://www.tennet.eu/de;transmission_system_operator;4033872000058;;;Bernecker Straße 70;Bayreuth;95448;BY;DE
Amprion GmbH;;amprion;;;gpke@amprion.net;+49 231 5849 12502;+49 231 5849 14509;https://www.amprion.net;transmission_system_operator;4045399000077;;;Rheinlanddamm 24;Dortmund;44139;;DE
TransnetBW GmbH;;transnetbw;; ;bilanzkreise@transnetbw.de;+49 711 21858 3706;+49 711 21858 4413;https://www.transnetbw.de/de;transmission_system_operator;9911835000001;;;Osloer Straße 15-17;Stuttgart;70173;;DE
E.ON Netz GmbH;;eon-netz;;;;;;https://www.eon.com;distribution_system_operator;;;;;;;;
Stadtwerke Augsburg GmbH;;sw-augsburg;;;;;;www.sw-augsburg.de;distribution_system_operator;;;;;;;;
SWM Infrastruktur GmbH & Co. KG;;swm ;;;netznutzung@swm.de;+49 89 2361 4644;+49 89 2361 4699;http://www.swm-infrastruktur.de;distribution_system_operator;9907248000001;;;Emmy-Noether-Straße 2;München;80287;BY;DE
Bayernwerk Netz GmbH;;bayernwerk-netz;;;netz-msb-mdl@bayernwerk.de;+49 941 2017128;+49 941 2017113;http://www.bayernwerk-netz.de;distribution_system_operator;9901068000001;;;Lilienthalstraße 7;Regensburg;93049;BY;DE
Buzzn Systems;;buzzn-systems;;;;089 / 32 16 8;;www.buzzn.net;metering_point_operator;9910960000001;;;;;;;
Discovergy;MPO of EasyMeters;discovergy;;;;;;https://discovergy.com/;metering_point_operator;;;;;;;;
MySmartGrid;Fraunhofer Institut;mysmartgrid;;;;;;https://www.itwm.fraunhofer.de/en/departments/hpc/green-by-it/mySmartGrid-energy-savings.html;metering_point_operator;;;;;;;;
Buzzn GmbH (Lieferant);Buzzn community power (performed by S-Hall);buzzn-energy;;;;089 / 32 16 8;;www.buzzn.net;electricity_supplier;9905229000008;;;;;;;
Drittlieferant;any non-localgroup supplier;3rd-party;;;;;;;electricity_supplier;;;;;;;;
Germany;used for energy mix 'Germany';germany;;;;;;;electricity_supplier;;;;;;;;
E.ON;;;;;;;;;electricity_supplier;;;;;;;;
RWE;;;;;;;;;electricity_supplier;;;;;;;;
Vattenfall;;;;;;;;;electricity_supplier;;;;;;;;
EnBW;;;;;;;;;electricity_supplier;;;;;;;;
hell & warm Forstenried GmbH;;hell-warm;;xxx@info.de;;089/89057180;;;other;;Brumbauer;Schmidt;Aberlestr. 16;München;81371;BY;DE
Hausverwaltung Schneider;;hv-schneider;;;;;;;other;;;;;;;;
