organization_id;function;market_partner_id;edifact_email;contact_person_id
50Hertz Transmission GmbH;transmission_system_operator;9911845000009;roman.schuelke@50hertz.com;Höhn
Tennet TSO GmbH;transmission_system_operator;4033872000058;biko-bka@tennet.eu;Schülke
Amprion GmbH;transmission_system_operator;4045399000077;bilanzkreisdaten@amprion.net;Mayer
TransnetBW GmbH;transmission_system_operator;9911835000001;bilanzkreise@transnetbw.de;Nossek
Bayernwerk Netz GmbH;distribution_system_operator;9901068000001;netzvertraege@bayernwerk.de;Schröter
bnNETZE GmbH;distribution_system_operator;9901066000003;edm.bnnetze@energiexchange.de;Brucker
E.DIS AG;distribution_system_operator;9901000000001;netznutzung@e-dis.de;Nicolai
Avacon Netz GmbH;distribution_system_operator;9907137000005;vertragsmanagement@avacon.de;Hildebrandt
enercity Netzgesellschaft mbH;distribution_system_operator;9900269000000;lieferantenwechsel@enercity-netz.de;Mandrella
Gemeindewerke Peißenberg;distribution_system_operator;9900512000004;netznutzung@peissenberg.de;Schuster
LEW Verteilnetz GmbH;distribution_system_operator;9906440000009;netznutzung@lew-verteilnetz.de;Oberndorfer
LSW Netz GmbH;distribution_system_operator;9907388000002;jan.bohne@lsw.de;Bohne
Mitteldeutsche Netzgesellschaft Strom mbH;distribution_system_operator;4042805000102;vertragsmanagement@mitnetz-strom.de;Klar
NEW Netz GmbH;distribution_system_operator;9900426000009;joachim.bobert@new-netz-gmbh.de;Bobert
Rheinische NETZGesellschaft mbH (RNG);distribution_system_operator;9907399000009;Vertragsmanagement@rng.de;Vertragsmanagement
Stadtwerke Einbeck GmbH;distribution_system_operator;9900165000005;sdammann@stadtwerke-einbeck.de;Dammann
Stadtwerke Kaltenkirchen GmbH;distribution_system_operator;9907633000004;olaf.nimz@stadtwerke-kaltenkirchen.de;Nimz
Stadtwerke Landshut;distribution_system_operator;9900371000005;j.fellner@stadtwerke-landshut.de;Fellner
Stadtwerke Schorndorf GmbH;distribution_system_operator;9900578000006;eduard.tiede@stadtwerke-schorndorf.de;Tiede
Stadtwerke Waiblingen GmbH;distribution_system_operator;9900662000003;a.miethe@stwwn.de;Miethe
Stadtwerke Wedel GmbH;distribution_system_operator;9900671000002;w.heller@stadtwerke-wedel.de;Heller
Stadtwerke Wiesbaden Netz GmbH;distribution_system_operator;9900683000008;ansprechpartner-datenaustausch@sw-netz.de;Netznutzungsservice
Stadtwerke Witzenhausen GmbH;distribution_system_operator;9907084000009;stefan.maeder@stadtwerke-witzenhausen.de;Maeder
Stromnetz Berlin GmbH;distribution_system_operator;9900080000007;netzkunden@stromnetz-berlin.de;Seipt
Stromnetz Hamburg GmbH;distribution_system_operator;9900259000002;marktpartner@stromnetz-hamburg.de;Kundenservice
wesernetz Bremen GmbH;distribution_system_operator;9907203000004;netznutzung-hb@wesernetz.de;Bent
Syna GmbH;distribution_system_operator;9870092500008;netznutzungsmanagement@syna.de;Netznutzungsmanagement
SWM Infrastruktur GmbH & Co. KG;distribution_system_operator;9907248000001;netznutzung@swm.de;Pertsch
SWM Versorgungs GmbH;electricity_supplier;9904160000002;datenaustausch.vertrieb@swm.de;Lieferantenwechsel
Buzzn GmbH;electricity_supplier;9905229000008;justus@buzzn.net;Schütze
Stadtwerke München GmbH;electricity_supplier;9910660000004;datenaustausch.vertrieb@swm.de;Lieferantenwechsel
Gemeindewerke Peißenberg;electricity_supplier;9903306000008;vertrieb@peissenberg.de;Reichhart
Stadtwerke Landshut;electricity_supplier;9903047000002;lieferantenwechsel@stadtwerke-landshut.de;Kontek
LichtBlick SE;electricity_supplier;9905294000009;versorgerwechsel@lichtblick.de;Eger
SWM Infrastruktur GmbH & Co. KG;metering_point_operator;9904886000005;messstellenzugang@swm-infrastruktur.de;Rehmeier
Buzzn GmbH;metering_point_operator;9910960000001;stefan@buzzn.net;Erbacher
Buzzn GmbH;metering_service_provider;9910963000008;stefan@buzzn.net;Erbacher
Discovergy GmbH;metering_point_operator;9905048000007;re@discovergy.com;Esser
