name,description,slug,image,email,phone,fax,website,street,city,zip,country
Buzzn GmbH,Purveyor of peoplepower since 2009,buzzn,,team@buzzn.net,089 / 32 16 8,,http://www.buzzn.net,"Combinat 56, Adams-Lehmann-Straße 56",München,80797,DE
50Hertz Transmission GmbH,,50hertz,,roman.schuelke@50hertz.com,+49 30 51503782,+49 30 51504511,http://www.50hertz.com/de/,Heidestraße 2,Berlin,10557,DE
Tennet TSO GmbH,,tennet,,uenb-mako@tennet.eu,+49 921 507404575,+49 921 507404566,http://www.tennet.eu/de,Bernecker Straße 70,Bayreuth,95448,DE
Amprion GmbH,,amprion,,bilanzkreisdaten@amprion.net,+49 231 5849 12502,+49 231 5849 14509,http://www.amprion.net,Rheinlanddamm 24,Dortmund,44139,DE
TransnetBW GmbH,,transnetbw,,bilanzkreise@transnetbw.de,+49 711 21858 3706,+49 711 21858 4413,http://www.transnetbw.de/de,Osloer Straße 15-17,Stuttgart,70173,DE
SWM Infrastruktur GmbH & Co. KG,,swm-infrastruktur,,netznutzung@swm.de,+49 89 2361 4644,+49 89 2361 4699,http://www.swm-infrastruktur.de,Emmy-Noether-Straße 2,München,80287,DE
Bayernwerk Netz GmbH,,bayernwerk-netz,,netzvertraege@bayernwerk.de,+49 941 2017128,+49 941 2017113,http://www.bayernwerk-netz.de,Lilienthalstraße 7,Regensburg,93049,DE
bnNETZE GmbH,,bn-netze,,edm.bnnetze@energiexchange.de,+49 761 88888 2274,+49 761 88888 2006,http://www.bnnetze.de,Tullastraße 61,Freiburg,79108,DE
E.DIS AG ,,e-dis,,netznutzung@e-dis.de,+49 3361 70 2244,,http://www.e-dis-netz.de,Langewahler Straße 60,Fürstenwalde/Spree,15517,DE
Avacon Netz GmbH,,avacon,,vertragsmanagement@avacon.de,+49 5351 12333223,,http://www.avacon-netz.de,Schillerstraße 3,Helmstedt,38350,DE
enercity Netzgesellschaft mbH,,enercity,,lieferantenwechsel@enercity-netz.de,+49 511 430 1788,,http://www.enercity-netz.de,Auf der Papenburg 18,Hannover,30459,DE
Gemeindewerke Peißenberg,,gemeindewerke-peissenberg,,netznutzung@peissenberg.de,+49 8803 690 240,,http://www.gemeindewerke-peissenberg.de,Hauptstraße 77,Peißenberg,82380,DE
